ANGER /// 	     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.	
SADNESS /// 	I know I'm already a week behind on FF. Will TRY to get one done today! Called into work 2hrs early due to problems so will be a busy day 	
SADNESS /// 	My dog is suffering from abandonment issues. She thinks I'm moving without her. 	
SADNESS /// 	@coupleocachers Trying to watch your vids, but the audio has been disabled 	
SADNESS /// 	i want to see my bud mel  miss hur loads 	
SADNESS /// 	I have a headache. Also we are dealing with a lice outbreak. My lovely hair has been affected. 	
SADNESS /// 	My head is starting to ache again, and I have to reinstall operating systems on 31 computers. 	
SADNESS /// 	Hm. Have you ever realized how incredibly over-rated Tokio Hotel is becoming? It makes me sad. 	
SADNESS /// 	@marshallsheldon Probably not a good idea, its hard to tweet on the web, I miss Tweetdeck!  *cry*	
SADNESS /// 	Sad face moment of the day 	
SADNESS /// 	@_Esme_Cullen_  I'm taking a million songs from your blip.fm station thing. Sorry 	
SADNESS /// 	is crying..because the school years over  i wont get to see my teachers!  i wont get to see johnathan.......	
SADNESS /// 	going crazy, the pain is unbearable..&amp; i gotta wait till thursday!? 	
SADNESS /// 	I am so sick and tired of this on and off rain 	
SADNESS /// 	@TheMrsNikkiSixx  We'll miss you  #Sixx?	
SADNESS /// 	@workingmoms thanks he got hurt Wednesday and going to vets today 	
SADNESS /// 	bruise on knee will make it hard to skate tomorrow. 	
SADNESS /// 	Too bad the Red Devils.. disappointing to say the least   	
SADNESS /// 	sore throat again. gaaah. it hurts. 	
SADNESS /// 	@empemp: aiaahh.. poor u  tell ur mom already?	
SADNESS /// 	The chicken noodle soup I made for lunch to feel better just burned my tongue . . .not a good day. 	
SADNESS /// 	@wired that is so sad 	
SADNESS /// 	ugh back to work today 	
SADNESS /// 	It's a sad day when Christian Lacroix has to file for bankruptcy 	
SADNESS /// 	HE SAID IT  HE ACTUALLY SAID IT and I think I'm gonna cry now. &lt;3	
SADNESS /// 	Bah, tea and toast for me because my stomach is not happy   The tea is yummy though...	
SADNESS /// 	@cameo1172 i feel u  but its sooo close to me hard not to  but i cant so no point ugh	
SADNESS /// 	@Lealala i no its so warm isnt it!! :O My arms are sore  Bad times. My face is a little red too :S	
SADNESS /// 	@mathewhulbert There's very few film/TV jobs, especially in WMids. And I can't afford to move away yet!  Sorry, I missed you on 107.3!	
SADNESS /// 	I am in so much pain I really don't feel too good. Couldn't eat my dinner 	
SADNESS /// 	almost got a kitty yesterday...but it didn't work out 	
SADNESS /// 	Yea i just saw this really sad commercial 	
SADNESS /// 	@sarahbellafina I'll try but silly silly tweetdeck being mean to me again 	
SADNESS /// 	My computer is broken 	
SADNESS /// 	is feeling sad  I so dont do goodbye'z!!!!	
SADNESS /// 	Thinks she's getting sick..... 	
SADNESS /// 	My flip flop just broke...walking in downtown seattle 	
SADNESS /// 	@ajandtjsmommy im sorry 	
SADNESS /// 	is feeling the effects of spring. My sinuses are killing me 	
SADNESS /// 	@MishDance i miss your dance friends too. 	
SADNESS /// 	@iunfold That's true  I never believe my staff when they call in sick on Mondays or Fridays - LOL!	
SADNESS /// 	i m totally confused and bored.. my life must change!! 	
SADNESS /// 	My head hurts beyond much. 	
SADNESS /// 	@MamaGaea Sorry to hear about your dude probs, what is it that's too much? 	
SADNESS /// 	@cccaaasss what's wrong? 	
SADNESS /// 	@bigkelleh i am sorry  that sucks. i got my overtime in my check already today....now i am really tempted to blow off tomorrow	
SADNESS /// 	Stars and Sons was hard to review. Didn't grab me instantly this morning so will have to delay the review to a 2nd listening tomorrow 	
SADNESS /// 	Aww I have a tummy ache 	
SADNESS /// 	sigh....it's always so sad when you watch the series finale....no more green wing left to watch 	
SADNESS /// 	why the hell is youtube not working???  NO NO  NO NO   NO  NO NO NNO NO	
SADNESS /// 	Gettin some fuel, too bad no one is reading this! 	
SADNESS /// 	Well I guess I'm not heading out to LA this weekend, Doubt I'll get to go to the PS Blog Meet and Greet 	
SADNESS /// 	Tired. Going to take a nap. My finger hurts.  143	
SADNESS /// 	@Sweet_Cake just  little stomach bug, nothing serious 	
SADNESS /// 	Wish I had a laptop charger so I could tweet faster 	
SADNESS /// 	Ugh feeling sick to my stomach and I have five more hours of work to go 	
SADNESS /// 	Another two hours of work. Ugh. It goes by so slow. And im sore 	
SADNESS /// 	Today is my last day of employment for the next 3.4 years. Here I come graduate school!  Going to miss the action at www.shugartbates.com 	
SADNESS /// 	@EeepersChoice I'd rather she not, if she's going to destroy them. 	
SADNESS /// 	It's clear intellectually that severing my relationship was best, yet my heart seems 2 B in complete disagreement. It hurts so so much 	
SADNESS /// 	About to go to my last theater lunch  im gonna cry.	
SADNESS /// 	@tacoman667 Not available in my area  I would too	
SADNESS /// 	on the phone with Arvest, the girl on the phone is breathing into the mic on the phone... not sound as good as Darth Vader... 	
SADNESS /// 	@mareyachristina nope  i'm bored and hungry.	
SADNESS /// 	@jamieaiken919 *JEALOUS* I desperately wanna go shopping, but alas, I have no cash. 	
SADNESS /// 	I did the dishes and I'm now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad 	
SADNESS /// 	Fighting a sore throat.. Few more days hard training then rest next week for Sunday race.. Oooohhh sun's out... Nope.. Gone... 	
SADNESS /// 	@rainofashes I would never do that to an innocent individual, plus it's really unsanitary 	
SADNESS /// 	i miss my husband 	
SADNESS /// 	my tummy hurts 	
SADNESS /// 	Wide awake. Wishing I wasn't. Damn nightshift routines. Got turned down for the job in Nashville  oh well ...	
SADNESS /// 	@adamjackson Better than what I did to my MacBook keyboard yesterday! (Spilled a whole cup of hot chocolate on it.) 	
SADNESS /// 	@hepcatrayo  so sorry, I just found the members preview has been sold out for awhile. It opens at Noon to the general public	
SADNESS /// 	@iwan2ctheworld she passed away in April.  she was really sick with a genetic disease. 	
SADNESS /// 	@ColinBach Sorry dude couldn't make BBQ only just back from hospital 	
SADNESS /// 	is hungry, but can't leave for lunch 	
SADNESS /// 	Oh man. I have been sick all night. I feel awful. 	
SADNESS /// 	Hey @itsmskay sorry about your headahce 	
SADNESS /// 	@Harishk: @krist0ph3r @saurabh sorry guys i have to drop out of the trip... some personal commitments.. 	
SADNESS /// 	@mileycyrus aww homesick  i feel you! im homesick for my 2nd home, campp	
SADNESS /// 	@Desert_Star95 oh so you know how I feel then  Damn representative for bank of america tried to make it sound like I did it. What a b ...	
SADNESS /// 	@souljaboytellem hell yea its hot here  i miss cali	
SADNESS /// 	we're getting another puppy  ... not cool... really	
SADNESS /// 	@thodwris RIP Michael 	
SADNESS /// 	@hisheidi  my thoughts dwell on a certain person	
SADNESS /// 	@StoryShtick Ugh.  Now my ears are having phantom pains. 	
SADNESS /// 	http://twitpic.com/67ykt - We are losing so far..... 	
SADNESS /// 	Sad that everyone is leaving me. 	
SADNESS /// 	Missed the play 	
SADNESS /// 	@FoxxFiles aw u can't let me in on the secret! 	
SADNESS /// 	@Doodlebug18 I'm sorry darling  anything I can do?	
SADNESS /// 	Omg its so gross out. no  relays tonight!	
SADNESS /// 	too cold to take the boat out tonight   might go out anyway, but danvan isn't in operation either. BUMMER	
SADNESS /// 	Burned my pinky.  great way to start my weekend thats gonna suck anyway.  	
SADNESS /// 	is sad that Piggy died 	
SADNESS /// 	Not to thrilled about the marathon this sunday, they assigned me on the street. Less $$$ 	
SADNESS /// 	So sad...  John Cryer's ex-wife Sarah Trigger  charged with abusing their son. He had rope marks around his neck   http://digg.com/u14MCf	
SADNESS /// 	@onmammaz ugh! I have a knee injury too, except mine is just an infected cut that hurts like hell 	
SADNESS /// 	off to pick up my daughters who appear to be picking up an unhealthy liking for primark...feel like a bad parent 	
SADNESS /// 	Having horrible nightmares not gonna go back to sleep 	
SADNESS /// 	just ran some ACCELA unit tests for the first time in about 2 years... and they failed 	
SADNESS /// 	@soverpeck dude, i didn't know it was a personal experience. sorry something like that went down 	
SADNESS /// 	Exhausted after a 58 hour work week   	
SADNESS /// 	My back is soooooo hurting.  	
SADNESS /// 	Off to the gym by myself!  no fun!	
SADNESS /// 	@drmenlo sorry about Mr Grey, Menlo 	
SADNESS /// 	@mitchelmusso i called you too, just YOU don't pick up! i think i deserve a shoutout... 	
SADNESS /// 	Sad to be leaving so soon 	
SADNESS /// 	17 hours left of being a teenager.. and ill be sleepin for 8-10 of those hours.. how depressing 	
SADNESS /// 	@jonhatesyou aw my dear i'm sorry 	
SADNESS /// 	@MandyyJirouxx: I live in germany, it costs a lot too!  I wish you could follow me anyway..	
SADNESS /// 	@eamobile I apparently have crappy typing skills...lol sorry 	
SADNESS /// 	Suddenly sick with the flu and quite sad about it 	
SADNESS /// 	Picked up Luna from the vet. She looks like she's been crying  I'm not kidding. Her lashes are wet and she has tear trails. My poor bebe!	
SADNESS /// 	time to get to work. i'm already starting the day off bad. missed the UP screening  this morning at the el capitan 	
SADNESS /// 	My poor wife.  I'm laid up for another 6 hours on doctors orders, then can't do much and she is dealing with screaming baby 	
SADNESS /// 	@mitchelmusso i can't i can't i can't  i'm sad.... i'm from venezuela!	
SADNESS /// 	no one to go see Tiesto with 	
SADNESS /// 	You know when your FAT when someone points it out.  ugh...what an aweful day... I feel like breaking down.	
SADNESS /// 	@yanq_ndo OMG I'm so sorry. I'm the worst employee ever. My hard drive just failed taking the survey data with it 	
SADNESS /// 	Nothing 2 do 2nte  Boooooooo! I'm totally bored!	
SADNESS /// 	So i have done absolutely NOTHING all day today...how pitiful is that...smdh...guess I cant go out 2nite, I gotta work  booo @me	
SADNESS /// 	@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack 	
SADNESS /// 	The time is not my friend today 	
SADNESS /// 	This is a big weekend... final project is due Sunday Night... I will be at this computer all day and night.... 	
SADNESS /// 	Need to get an adjustment, neck is all out of whack 	
SADNESS /// 	@kristenmchugh22 Oh, I'm so sorry!...my kitty is there right now being checked...losing lots of weight over last 3 wks. Not good 	
SADNESS /// 	@mcarvin I don't feel too bad, but not sure to what I should attribute that. Could be cold &amp; flu meds; nap; alcohol; or getting better... 	
SADNESS /// 	Just got my rejection email from Jeffco schools.  fingers crossed for Boulder Valley...	
SADNESS /// 	how bad has life gotten where u  werecounting on the church50\50 raffle? the answer is real bad 	
SADNESS /// 	Fritz Roderick Von Hughes is sad to be in the kennel all day  http://apps.facebook.com/dogbook/profile/view/6882699	
SADNESS /// 	Fiona is sad because there wasn't enought room in Megan's suitcase for her  http://apps.facebook.com/dogbook/profile/view/5163602	
SADNESS /// 	Roxie is not feeling very well  http://apps.facebook.com/dogbook/profile/view/6878284	
SADNESS /// 	Hey @robluketic nawwwww pity no show no more lol great while it lasted though aye   (robluketic live &gt; http://ustre.am/2w5v)	
SADNESS /// 	@herecomesdomzi and what about me, huh? I'm crying. Did U forget me? 	
SADNESS /// 	This wind is crampin' my style. I have a section of my yard that won't get any water. I'd move the sprinkler, but it's surrounded by mud. 	
SADNESS /// 	Trying to get some work done not too happy about work situation 	
SADNESS /// 	Hi ya twitt's..so leaving sat morning here in TX..sad  I guess gotta really find a job now..if anyone in Atlanta needs a great designer..	
SADNESS /// 	extremely bored. 	
SADNESS /// 	I've been really tough, but it still sucks to live 5000 miles away from your family when you crave for Korean homemade meal. 	
SADNESS /// 	@grossnoises i miss yoooouuuu!!!! 	
SADNESS /// 	@marsacademy *HUGS you*  awwww......i'm sorry you are feeling sad E!  	
SADNESS /// 	midnight cry.. wish the person I wanted, wanted me right now 	
SADNESS /// 	having a bad day 	
SADNESS /// 	Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman. 	
SADNESS /// 	@bloodyironist that sucks.  But woot for Misha. 	
SADNESS /// 	I recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad!!  trust me!	
SADNESS /// 	Have to go to the dreaded DMV tomorrow  	
SADNESS /// 	Did you guys figure out Saturday? I really wanted to go but my mom is sick so I have to take her to the hospital in Tampa 	
SADNESS /// 	@crazydaisyfire Well thats even worse cuz when it gets hurt everyone is in pain, but poor Stephen has a smushed twitter now!  	
SADNESS /// 	@janeyha I'm stuck with BOO!!!! Jeeeez shoot me now 	
SADNESS /// 	massive headache. argh 	
SADNESS /// 	feel. sick. too. much. cheese. on. toast. 	
SADNESS /// 	@LisetteRosalie the worst kind of news 	
SADNESS /// 	My baby was so drunk I brought her home for an hour to pass out then carried her to the car 	
SADNESS /// 	Another boring meeting to attend 	
SADNESS /// 	@CenturyMontes why you stop following me? Was I not cool enough for you? 	
SADNESS /// 	@yin9shi what interview! leave me alone 	
SADNESS /// 	I'm so depressed right now. IDK... 	
SADNESS /// 	Omg i got a black eye from a deck of cards i choked on laffy taffy and i am officaly done with school.. Sad now 	
SADNESS /// 	@sbenzur haha! sorry to hear that 	
SADNESS /// 	My poor phone is nekkid without its cover. 	
SADNESS /// 	is wondering what I did to get on the &quot;do not respond&quot; list 	
SADNESS /// 	@Blinkollieb182 : nooo  i don't know why...i click on TweetDeck_0_25_manual_Blink182.air and it doesn't run!! so sad...	
SADNESS /// 	i feel extremely depressed right now. 	
SADNESS /// 	@carostilwell I'm praying for you and your family beav! I'm so sorry for your loss 	
SADNESS /// 	Woke up early! Still sick 	
SADNESS /// 	Leaving for Paris tonight. Trying to cram all my assignments for the week done in two days.   I think I'm half done, I hope.	
SADNESS /// 	omfg. one of the worst days ever! 	
SADNESS /// 	@courtneyreece I know how you feel. My head is getting stuffier and stuffier, and it is not fun. 	
SADNESS /// 	Is in serious pain. 	
SADNESS /// 	is so sick of myself + my life  i'm never going to be as good i want + need to be. xoxoxo &lt;/3	
SADNESS /// 	just drove with my mom and brynn. my mom said im the worst driver EVER...really?? 	
SADNESS /// 	Ahhh feel sorry for that little girl  can't watch her crying xx	
SADNESS /// 	pmg im very upset no just relasie hugh laurie isnt on  xxx ohh	
SADNESS /// 	@michaelmphysics YES. i am thinking of staying in the office until it's slightly less RIDICULOUSLY HOT 	
SADNESS /// 	Cruising &quot;Serious Eats NY&quot; does not bode well for a future in GA. Missing NYC gastronomical tour..  http://newyork.seriouseats.com/	
SADNESS /// 	is tired and cold and runny 	
SADNESS /// 	We lost a peacock chick this morning 	
SADNESS /// 	Just saw a dooope bmw 6 series parked with the top back....to bad it was raining 	
SADNESS /// 	Just awoke in a completely freaked out frantic frenzy.  It's going to be a long night.	
SADNESS /// 	@IconsRobg My Denny's shut down in the winter.  I have to do 50 miles to get to one now.  	
SADNESS /// 	I'm very conflicted here.  I really like Mike but I still have feelings for Darrin.  It's really complicated.  I don't know what to do. 	
SADNESS /// 	@PerezHilton  that's sad. Trauma... Future serial killer...	
SADNESS /// 	It's cold and cloudy and I have a million loads of washing to do 	
SADNESS /// 	Checking out Twitter Trying to find people I know....Unfortunately no one I know uses this website 	
SADNESS /// 	Ugh I have a hedache; I may be cheap, but fucking shit I still have class with how I roll 	
SADNESS /// 	This has been a dismal week. 	
SADNESS /// 	My face an my arms. Tragic. Seriously. 	
SADNESS /// 	@siggidori sorry, I'm creating a new comedy style &quot;bad joking&quot; 	
SADNESS /// 	aWWW Poor Holly 	
SADNESS /// 	3 hours of sleep and a mild hangover = carelessness and the loss of a brand new ipod pouch  	
SADNESS /// 	 battery is low boooooooo in Palm Springs, CA http://loopt.us/2SljBw.t	
SADNESS /// 	My foot still hurts from stepping on a spider...owwwwww 	
SADNESS /// 	worst, most depressing day, ever.  r.i.p	
SADNESS /// 	@backstreetboys  totally missed the chatroom. I'm so lame	
SADNESS /// 	am little bit upset   ppl is jerk-	
SADNESS /// 	@TeamTSwift  that's bad luck!	
SADNESS /// 	Home Sweet Home by Carrie Underwood makes me sadd 	
SADNESS /// 	Need some coffee... Getting serious withdrawal symptoms 	
SADNESS /// 	macbook dying. switching to iphone. 	
SADNESS /// 	Waiting for friends to call or email me bleh i feel unloved 	
SADNESS /// 	I just single handedly killed 4 flies and a crane fly with my hairbrush!! I'm gonna go disinfect it now...but bugs beware!! 	
SADNESS /// 	it seems my phone is dying!  boo! 	
SADNESS /// 	Had to take my bad ass dog to the pet hotel....so sad 	
SADNESS /// 	i reeaally miss my cosito  hope hes getting good scores!	
SADNESS /// 	@heartsnsparkles she is that's why she never speaks to me in college i think  .....i might just stick to unzela...if hashim dosnt shoot me	
SADNESS /// 	i dont feel good! sick to my stomach 	
SADNESS /// 	My tummy hurts...again 	
SADNESS /// 	@eogasawa psh... I'm not cool enough to go to their open-houses. 	
SADNESS /// 	My mock ACET scores have shown me that I am doomed to fail not because of ignorance but because of stupidity. 	
SADNESS /// 	been shoppin all day and got a headache (which i still have) i got 1 boyfriend style shirt and didnt find a new bracelet 2 wear 	
SADNESS /// 	I don't feel so good after eating all that food  ugh.	
SADNESS /// 	today has me feelin' like crap 	
SADNESS /// 	@sthig, you make baby jeebus cry 	
SADNESS /// 	sourish limbs is preventing me from gg out on a friday. not happy. i haven't been on at 12am for a v long time...even more so on a fri 	
SADNESS /// 	@insidebooks Ooh, jealous. I just have yoghurt and some carrots. 	
SADNESS /// 	@prncsztalia why do you hate me!? 	
SADNESS /// 	@GaryED46 I'm supposed to be bug fixing, and I'm Twittering, too. It's not good enough. It's Twitter or work. Bug fixing will have to go. 	
SADNESS /// 	@trixie360 trivia? Working, no computer! 	
SADNESS /// 	So bored.... couldn't go to a-kon... 	
SADNESS /// 	@lucyburchell sorry we didn't get a chance to chat at #screengrab09. Caught glimpse of you across room but was dragged home prematurely 	
SADNESS /// 	@JNez I hear that, we've missed so many films due to insufficient fundage: Watchmen, Dark Knight, Star Trek. 	
SADNESS /// 	I had the worst dream ever: the Lakers were losing 11 : ZIP  &amp; Courney Cox had a mohawk wtf.	
SADNESS /// 	i need monies.  school is expensive.	
SADNESS /// 	Tum is very unhappy this morning (&amp; it's definitely not a hangover, either). I'd call in sick to work except Heidi needs a ride home. 	
SADNESS /// 	@nicholasxjonas  you disappointed me	
SADNESS /// 	@Nicsey wassup m8 ... bad day not good 	
SADNESS /// 	my life is sad..just had reminder go off on my phone to recharge toothbrush! 	
SADNESS /// 	Going to be a strange weekend. Probably srtarting off with working til midnight tonight 	
SADNESS /// 	I want korean bbq so baddd but no one can come with me 	
SADNESS /// 	Oh snap!  Just broke my windshield while replacing my wiper blades.  	
SADNESS /// 	I should be paying my bills and not playing on here.  	
SADNESS /// 	@AboutK damn - doesn't show how people are more conservative in blackjack 	
SADNESS /// 	@BIOSShadow I'm not going, sadly.  Maybe next year, eh?	
SADNESS /// 	Ed is off to Cornwall with school for a week confused   + 	
SADNESS /// 	Can't play World in Conflict because the computer is running too slow 	
SADNESS /// 	@GH_Confidential I tried to use Spinelli to turn him on to GH, but it didn't really work 	
SADNESS /// 	@elmers10 miss u more 	
SADNESS /// 	I'm awake and can't sleep bc I'm feeling sick  yuck!!!	
SADNESS /// 	@JonathanRKnight i wish i  would in california.....i m so sad 	
SADNESS /// 	@ireallydohate I had to look at it 3 times before it sunk in, totally shocked by it  tbh. 	
SADNESS /// 	Sickkkk  ....and I need 11/20--NOW.	
SADNESS /// 	@darkmornan that was so disappointing 	
SADNESS /// 	-was just told by Dan to NOT say anything anymore...  -now im super sad =(	
SADNESS /// 	sorry my bad. 	
SADNESS /// 	Already misses the Dunhams. 	
SADNESS /// 	@SquishT77 So sorry to hear about your mum. 	
SADNESS /// 	@LIL_MISS_CBW Sorry!  It's been one hell of a day.  I has flooding 	
SADNESS /// 	Not good news  Time for an incredibly hard decision.	
SADNESS /// 	@Carmnx Aawh, that; s too bad 	
SADNESS /// 	Starting to spoil my pug since her brother Max passed away on Tuesday. We miss him.  	
SADNESS /// 	I swear its so hot I dont want to leave my house  Is it hot where your at?	
SADNESS /// 	@redhalo_pax Oh man... I'm so sorry to hear that. I hope everything works out 	
SADNESS /// 	head hurts and I feel sick  and I have to go to work tomorrow  	
SADNESS /// 	Having a boo-hoo day. Things just suck today 	
SADNESS /// 	bwarg. can't sleep, tired of drawing. 	
SADNESS /// 	... sorry GPGMail 	
SADNESS /// 	@IYL86 Well yeah, the hormone things basically a given  thought he had misbehaved specifically to upset your mom and you.	
SADNESS /// 	@its_sb I killed my furby tooo 	
SADNESS /// 	Aaahhh I'm just so busy. Sorry everyone. 	
SADNESS /// 	Gonna go watch Shorty Street &amp; then prison break marathon then bed maybe. Nobodies texting me! 	
SADNESS /// 	Bored and kinda lonely, my parents went up to the lake. I didn't have a friend to bring up so i knew i was bored and didn't go. 	
SADNESS /// 	is now going to see his very ill uncle on saturday and the night at his house as even more bad news has come up 	
SADNESS /// 	@kscarter I feel like I haven't talked to you in a really really long time. 	
SADNESS /// 	Having trouble syncing my iphone to my work exchange email  help!!!!	
SADNESS /// 	Depressing day today, have to pack as leaving ridiculously early tomoro. 	
SADNESS /// 	:O Can't believe Hannahs dead in Hollyoaks!! 	
SADNESS /// 	@puppaz that really sucks I feel bad for you at least I woke up at eight. 	
SADNESS /// 	I got a full day of work today.  Can't wait in tell i get home for some beer and tv time  but i got to make the money to get the beers	
SADNESS /// 	all these follow fridays make me feel really unpopular 	
SADNESS /// 	8 month old African grey parrot  sad sale - Reptile Forums UK http://bit.ly/grrdA	
SADNESS /// 	@Cara62442 Just read those tweets and it sounded like i was getting on at you . I swear not what I meant to do 	
SADNESS /// 	@Glinner I'm sorry. It sucks I can't get spotify free. I would never stop you but I just got 5 links from 3 different people. It's crud. 	
SADNESS /// 	@Peeperrzz URGHHHHHHHHHH your makeing me cry 	
SADNESS /// 	Is trying to recover from a broken heart....yet again for the 2nd or 3rd time 	
SADNESS /// 	@Suai awww me sorry.. its been so long.. u left me 	
SADNESS /// 	Ahh! my right kidney hurts soooo bad!!! Ooommmmggggg!!!!         	
SADNESS /// 	Left poor fred!(boyfriend) in the alice in wonderland ride !  oops sorry fred! Argh! 	
SADNESS /// 	@MissCalderon that was horrible. I didnt ask u to. But u didn't have to laugh about it.  it hurt a little inside here *pints toward heart*	
SADNESS /// 	NAPLAN testing, tuesday, wednesday &amp; thursday. i'm afraid about the maths one, english ,not so much 	
SADNESS /// 	this is horrible. lauren cant go out no more. and arghhh, i really fancied going out tonight. looks like a day and night in. grrreeaaattt 	
SADNESS /// 	Oh shit!  I forgot to eat! Grumble grumble. 	
SADNESS /// 	@mikki_kayla02 Sorry! I didn't mean to ruin the rest of your day 	
SADNESS /// 	@ my sisters crying my eyes out, hubby called from Iraq, spoke for n2 minutes heard popping sounds in the background and call dropped. 	
SADNESS /// 	seagull hates me and im utterly depressed about it. i miss him. 	
SADNESS /// 	@tommcfly (2) in commentary @flahmanow , I was with her, was sad, very sad 	
SADNESS /// 	diiinner  its sooo cold right here D:	
SADNESS /// 	So off work about to do what I don't know I'm exhausted 	
SADNESS /// 	@totalgunner Ive twitpic-we him before so you might be able to find him LOL. Aw thats so sad!  ooh piranhas? Scary lol	
SADNESS /// 	I'm sad to have lost another person close to me to cancer 	
SADNESS /// 	IN PAIN. my big toe got stomped on during the hokey cokeu. it's throbbing. anyone have any suggestions to heal it? 	
SADNESS /// 	@SaraJayXXX OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!  	
SADNESS /// 	@jinime Your schmoo is moving? Are you sad? 	
SADNESS /// 	I am soooo hungry. But waiting for bf to get home, he has car trouble and is waiting for the mechanic to help him... 	
SADNESS /// 	3 tweeets {:    FGS tweekdeckkk hates me  -cryyyy	
SADNESS /// 	Feeling sick the now 	
SADNESS /// 	twit, my way out of grad traffic.  	
SADNESS /// 	Gonna miss Thick As Blood next Friday 	
SADNESS /// 	is there a program that tells you when someone stops following you or who started following you? Lost one last night and I've only got 85 	
SADNESS /// 	I'm tired. I think I'm becoming too old to go out.  	
SADNESS /// 	... and itÃ¯Â¿Â½s FFA *evil grin* but IÃ¯Â¿Â½m so busy at work today I wonÃ¯Â¿Â½t get anything done 	
SADNESS /// 	@bex_1210 holy crap, I need to see that! Too bad I gotta wait until tomorrow 	
SADNESS /// 	@SilentEcho omg i know i'm so sorry  my screen is just small :S	
SADNESS /// 	Still @ hospital, unexpected complications 	
SADNESS /// 	@lynnftw I know exactly what you are saying.. its so not cool... that is why tapes were better  :p	
SADNESS /// 	Work has really sucked the past 2 days &amp; now my 11:00 meeting on Mon got rescheduled to 9 am! That's just plain evil...i need a new job!! 	
SADNESS /// 	I cut my thumb on a broken coffee pot. 	
SADNESS /// 	i got in a fight with ryan. now hes like crying and im just dead inside. sigggh 	
SADNESS /// 	@bowwow614 I would but I'm afraid I got two left feet 	
SADNESS /// 	This is California it has to be sunny... But its not ::::: makes me kinda sad 	
SADNESS /// 	@Mister_SEX I do!  I'll probably get fired if I do though 	
SADNESS /// 	I need a friend right now  , I feel like mmmm ... sosad 	
SADNESS /// 	@linkdupont yeah  That was bad....	
SADNESS /// 	Its so sad 	
SADNESS /// 	@locuta did I miss something?? 	
SADNESS /// 	Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H	
SADNESS /// 	@stacey79 that sucks - I'm still hungry and sucked down my food.  	
SADNESS /// 	I swear, now my dog is having anxiety issues.  	
SADNESS /// 	so sad about Mike Tyson's daughter. 	
SADNESS /// 	@skyduke478 that makes me sad for you 	
SADNESS /// 	@bhufford: I've got a fairly flat route available... the problem is I no longer have a fully functional bike to ride 	
SADNESS /// 	Omg i'm so sad. I jus took in that gossip girl is done 	
SADNESS /// 	aww i feel so bad for Holly 	
SADNESS /// 	sad ending to the softball season. 	
SADNESS /// 	just watched terminator 2 and i cried, Its the one movie that makes me cry for some reason when arnie dies!  im lame!	
SADNESS /// 	I think Ive buggered up my mobile  ack. I am a stubborn arse and refuse to get a new one.	
SADNESS /// 	going to bed its late and I have headache 	
SADNESS /// 	@HeWhoWrites Aww I feel bad for the lil nigga. He look like he know what's coming 	
SADNESS /// 	@kiteman1 yeah unfortuantley  Sam hanks crap bowl that he like rolled along the floor got me out  grr	
SADNESS /// 	@KyleWade05 so glad i did not say hi to last night... i dont want the flu... but sry if you really do have it 	
SADNESS /// 	@iamdiddy yeah I need a hug...cuz I am sick..  	
SADNESS /// 	Wonders if I'm d only 1 dat n church sumtime nt knowng certain sungs. Seems like erbdy knows it but u? Quickly feel bad cnt sing along . 	
SADNESS /// 	@LiveFreeT  awww that's sad...	
SADNESS /// 	BGT made me cry tonight 	
SADNESS /// 	@Mitchelmusso: Am getting upset listening to the say now  I want to speak to you Mitchel but my darn phone got no money on x	
SADNESS /// 	@aaronhoskins I fucking miss that band so so much 	
SADNESS /// 	@SEXONWHEELS  thats it, rub it in that ur seeing morrissey! il just go and cry in the corner  x	
SADNESS /// 	think he caught swine flu, cant do test tmorow. sorry school 	
SADNESS /// 	Is upset that he didn't get his 24 fix tonight 	
SADNESS /// 	Still Doing Grench paper and still getting distracted 	
SADNESS /// 	Life is over! Just went to get tickets for all time low, sold out  anyone got spares or wanna sell me theirs?	
SADNESS /// 	@shadowcall I'm sorry to hear that. 	
SADNESS /// 	On the way to the dentist. 	
SADNESS /// 	@cartermason bummer, bro, sorry to hear that 	
SADNESS /// 	In cafe management, the end of the month is nothing but numbers. My arty little head hurts from finding discrepencies 	
SADNESS /// 	i lost one of my best friends iÃ¯Â¿Â½m sooo sad 	
SADNESS /// 	@ kbal24 I am sorry that you are feeling that way. 	
SADNESS /// 	Sick at home and so bored  I want to get better already so I can enjoy being a college grad!	
SADNESS /// 	REALLY want to go to an old friend's party tonight, but I have fakeflu. That and alcohol probably won't mix well. 	
SADNESS /// 	I'm hungry. And single.  heading to the golfing range soon.	
SADNESS /// 	is allergic to you...Oh NO! 	
SADNESS /// 	so i have like no more friends it's kinda sad 	
SADNESS /// 	http://twitpic.com/67l90 - @lunawoodcock girrrrrrrrlll i'm going to miss you so bad!!!! 	
SADNESS /// 	Awe...man...i missed registration 4 #flashcamp 	
SADNESS /// 	@juliegoodacre I was thinking of changing it but it is a hassle for everyone who follows us so I get to be Jason 	
